PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
7352.73,7358.5,7188.96,7230.25,197084428
7112.19,7190.47,6996.26,7174.14,252970755
7171.47,7280.16,7163.09,7267.87,154203690
7204.94,7267.28,7197.49,7214.74,136790422
7188.7,7254.1,7139.68,7220.12,206981555
7162.82,7171.55,7089.09,7107.92,168930254
7148.48,7236.44,7139.76,7192.67,165010998
7250.18,7263.18,7166.37,7221.36,171148360
7264.98,7326.61,7142.43,7290.14,244588464
7308.48,7357.25,7266.79,7326.39,200113324
7273.6,7366.78,7258.52,7344.54,111471767
7369.89,7382.8,7302.5,7349.45,140212648
7315.75,7344.17,7216.58,7252.68,133575964
7163.95,7203.01,7110.13,7190.06,164848522
7108.27,7190.91,7063.82,7158.77,142831958
7254.5,7282.01,6953.98,6953.98,189257698
6909.43,6938.34,6772.38,6796.75,182744435
6717.84,6783.07,6543.6,6640.59,265055235
6714.79,6730.43,6391.54,6414.76,288080385
6338.77,6436.66,6152.62,6236.16,360029755
6170.69,6272.94,5911.09,5923.27,314809462
5896.14,6026.27,5502.63,5917.08,435795964
6040.68,6089.08,5549.02,5613.42,433043485
5771.21,5825.08,5487.82,5797.66,358993561
5775.96,6023.75,5678.62,5997.74,255814348
6075.59,6106.11,6008.01,6022.24,143252273
5957.94,5998.31,5849.52,5994.9,166056472
5910.5,6018.37,5870.17,5948.94,161675641
5854.36,5892.57,5535.61,5602.8,325984280
5581.51,5595.15,5345.36,5480,351405681
5412.75,5591.35,5408.71,5473.78,174628037
5529.26,5636.06,5452.15,5532.38,186614410
5579.8,5743.1,5514.15,5681.08,162594965
5739.86,5777.04,5451.52,5584.14,225574204
5582.5,5588.69,5403.58,5537.48,172501109
5634.06,5714.72,5587.78,5670.07,99263475
5713.53,5730.36,5572.65,5643.92,132990157
5686.26,5869.65,5648.97,5784.85,245940534
5793.1,5794.5,5639.03,5730.63,188574892
5623.7,5635.5,5493.31,5538.33,182054494
5409.87,5421.11,5208.37,5246.18,202461340
5248.31,5332.11,5150.05,5193.97,238134231
5332.52,5406.23,5276.88,5405.53,180844940
5410.08,5473.68,5313.78,5408.46,161724842
5383.63,5400.79,5174.24,5189.93,229313964
5063.59,5126.52,4965.8,5072.33,265140805
5153.95,5222.81,4969.84,5166.36,284106925
5108.1,5347.82,5105.82,5340.19,231817678
5386.86,5566.58,5374.57,5508.24,235492916
5607.51,5655.95,5524.22,5573.51,377710653
5447.32,5496.94,5362.01,5415.91,161294129
5373.53,5577.6,5369.07,5571.68,158705831
5557.07,5557.92,5417.85,5433.8,149195157
5258.42,5289.77,5135.85,5164.21,203158573
5227.09,5229.6,4973.92,5196.56,198768843
5128.56,5415.56,5118.19,5345.56,211154364
5502.89,5638.04,5483.23,5628.44,245902903
5560.6,5700.08,5520.59,5578.42,181758168
5555.07,5704.41,5533.33,5639.58,182949002
5602.55,5606.56,5438.55,5502.02,179782653
5311.93,5437.74,5289.04,5376.7,132149036
5284.11,5288.78,5125.44,5216.71,204747680
5341.43,5486.03,5266.14,5473.03,178813454
5511.56,5645.25,5465.55,5645.25,210852563
5647.66,5749.13,5606.32,5675.7,166613839
5705.4,5872.15,5652.99,5847.29,147428009
5825.91,5883.38,5773.88,5865.01,139412818
5851.1,6022.05,5798.16,5994.47,183863879
5969.91,6036.02,5878.29,5914.84,184778720
5934.78,6037.29,5885.39,5967.2,185337930
6021.29,6081.41,5819.97,5859.43,177504982
5781.77,5907.46,5747.65,5877.41,153072095
5909.58,5977.75,5874.85,5913.53,141356367
5834.42,5914.87,5752.83,5766.48,172137228
5800.06,5980.46,5769.19,5970.96,176836474
6014.36,6067.16,5937.58,6055.27,143511441
6026.45,6157.93,5964.28,6046.75,171999127
6041.16,6143.56,5951.82,6016.07,151167634
6222.75,6347.6,6196.6,6337.84,333807521
6364.18,6430.6,6305.5,6346.19,207679735
6283.19,6304.84,6141.34,6141.34,173809293
5934.54,5947.58,5762.26,5834.51,291736298
5897.14,5990.56,5810.79,5965.63,177796274
5835.36,6193.34,5832.03,6133.18,237643062
6175.43,6175.43,5928.92,5966.16,198997390
5905.93,6028.59,5835.09,5928.68,158206007
5950.44,6087.06,5934.23,5961.44,144446488
6045.87,6055.58,5767.26,5829.54,251017218
5732.32,5934.31,5721.97,5867.81,201676321
5881.49,6065.29,5855.12,6057.03,144526977
6097.27,6116.07,5934.09,5985.02,133943021
5920.43,6011.47,5815.85,5933.14,140685714
5873.29,6028.23,5852.04,5913.36,139976911
5875.86,5921.25,5778.1,5850.17,180841993
5800.79,5897.99,5769.69,5800.24,153519217
5767.09,5771.7,5598.05,5606,182779358
5648.5,5681.74,5537.39,5537.39,245728890
5485.67,5588.11,5457.77,5457.77,236213586
5512.76,5563.82,5399.85,5428.11,157729166
5433.3,5528.64,5366.5,5492.87,135413146
5577.19,5754.51,5573,5745.33,172618513
5725.68,5826.35,5690.57,5799.91,143661820
5741.21,6130.68,5725.98,6088.84,244420002
6080.48,6111.97,6017.38,6035.88,153039996
6117.73,6169.64,6055.48,6080.68,205318692
6137.87,6170.04,6086.42,6106.09,201034246
6021.73,6094.77,6005.82,6028.82,156070163
6116.26,6137.05,5919.56,5994.73,143842516
6054.56,6077.17,5868.63,5874.44,183750573
5806.49,6007.05,5802.36,5986.71,190767742
5945.19,5952.55,5785.43,5785.43,153575073
5801.39,5852.43,5734.12,5774.26,191195573
5738.98,5771.6,5675.14,5675.14,202903658
5713.48,5795.87,5682.16,5730.62,183781170
5764.45,5775,5693.41,5701.78,301486743
5651.74,5775.24,5644.19,5670.71,102011962
5652.61,5847.71,5637.53,5847.03,129734850
5918.72,5965.35,5771.62,5791.53,145367731
5830.13,5886.18,5820.44,5852.18,88638711
5905.18,5913.41,5844.64,5878.93,54220083
5900.7,5924.38,5877.98,5889.76,35248960
5875.87,5901.35,5771.27,5771.27,72297247
5804.13,5848.78,5775.79,5848.78,59708751
5867.03,5898.35,5817.71,5898.35,42363118
5900.18,6075.52,5900.18,6075.52,90828403
6124.11,6179.03,6108.62,6166.57,116709157
6141.26,6163.48,6088.06,6111.55,100870834
6121.34,6130.1,6040.94,6095.99,141738422
6114.64,6152.56,6012.64,6057.92,109973742
6061.26,6076.59,5987.75,6017.23,110946062
6090.87,6191.29,6069.36,6162.98,171412280
6148.45,6181.61,6106.03,6152.34,166799370
6160.09,6256.95,6148.85,6179.21,205749433
6242.49,6245.38,6063.66,6143.08,213909601
6120.4,6232.21,6104.11,6220.01,108071839
6301.91,6343.04,6270.97,6332.93,167118815
6330.43,6399.43,6280.52,6354.57,184490485
6377.24,6420.35,6333.7,6416.26,335554588
6410.75,6431.26,6371.69,6404.39,272361922
6387.33,6467.34,6349.69,6436.62,270707714
6372.49,6420.05,6339,6419.22,246102196
6448.87,6456.57,6366.65,6421.85,170090500
6453.62,6559.07,6430.37,6539.85,197223670
6507.77,6574.19,6484.35,6511.98,150009321
6454.54,6491.52,6414.33,6444.45,140511798
6489.04,6533.22,6450.1,6458.91,158039800
6482.95,6630.48,6482.56,6616.64,210399186
6640.05,6667.98,6606.37,6655.63,156001224
6649.57,6767.46,6635.63,6766.67,194732414
6752.03,6781.43,6714.82,6764.83,123043005
6772.75,6788.77,6682.89,6754.2,143194644
6800.72,6829.88,6735.67,6748.76,221329640
6782.14,6838.13,6746.1,6788.8,242278488
6730.54,6751.08,6649.56,6692.96,228643131
6748.68,6774.6,6709.63,6738.47,140972165
6712.68,6788.57,6698.32,6728.19,148101853
6807.55,6830.1,6736.56,6757.94,163430291
6665.24,6751.96,6651.72,6751.96,166240839
6811.02,6874.53,6794.89,6848.03,168885040
6892.04,6956.67,6878.53,6948.25,131240474
6936.91,6971.03,6873.54,6908.18,139943982
6914.68,6915.18,6821.8,6843.87,129082721
6838.94,6903.51,6733.59,6809.46,261556273
6871.25,6890.9,6826.34,6864.43,155819587
6817.46,6868.58,6743.65,6849.6,168648219
6867.23,6900.51,6809.22,6887.63,149732482
6914.66,6967.14,6843.27,6856.08,195540530
6831.97,6949.45,6817.73,6941.77,187153660
6944.45,6954.89,6904.1,6921.37,197181163
6876.89,6902.58,6815.47,6866.46,169816448
6835.97,6840.33,6633.11,6633.11,216446816
6638.48,6682.68,6612.61,6671.11,181610957
6723.33,6838.39,6703.89,6834.54,206866263
6848.52,6912.42,6830.63,6880.21,154677166
6868.97,6911.27,6846.9,6901.35,126636557
6957.25,7020.04,6941.96,6995.91,149276976
7028.92,7099.34,7028.15,7079.42,212921114
7093.97,7153.11,7072.27,7144.45,149750289
7145.78,7194.33,7142.75,7157.82,359056872
7143.93,7154.83,7095.13,7154.22,144660226
7121.92,7124.63,7032.07,7054.94,151228321
7088.76,7113.94,7012.04,7071.32,134457258
7053.42,7071.09,6938.2,6981.26,165779479
6986.9,7026.9,6908.97,6995.62,133079038
7022.64,7102.05,6969.97,7079.23,121408810
7106.77,7153.68,7075.16,7078.9,143180990
7056.05,7110.54,6998.8,6998.8,133051499
6980.09,6993.74,6841.97,6875.15,168699664
6924.82,6959.71,6898.91,6946.83,131062733
6973.99,7057.2,6911.63,7056.65,137223664
7053.91,7081.06,6981.21,6982.28,130860413
6940.61,6944.4,6772.95,6784.06,192787646
6817.85,6831.36,6685.8,6775.26,197220323
6694.72,6737.92,6606.43,6606.43,178357531
6628.66,6722.52,6603.07,6674.73,163586861
6710.37,6761.78,6651.81,6743.24,194638135
6732.07,6743.01,6552.32,6583.9,187253310
6556.3,6675.39,6548.39,6625.19,169859622
6625.71,6801.15,6616.95,6801,170319087
6780.49,6812.84,6718.1,6732.03,138944684
6775.46,6807.12,6665.31,6671.22,196543635
6689.71,6760.26,6651.8,6750.12,165783449
6666.79,6668.12,6499.07,6523,197032843
6566.11,6604.54,6508.1,6590.41,170335735
6622.96,6733.34,6622.9,6704.5,177311882
6702.61,6750.65,6642.04,6739.9,166756658
6662.31,6825.41,6652.51,6801.32,160819445
6844.1,6846.66,6759.9,6761.19,113632751
6861.3,6875.87,6664.57,6710.77,159609577
6749.27,6791.75,6648.5,6694.44,182210281
6682.96,6684.89,6546,6561.47,162528175
6515.94,6578.95,6410.03,6569.48,136812516
6548.74,6576.72,6415.03,6444.74,137195623
6483.27,6506.21,6375.79,6475.31,188656891
6531.15,6549.77,6440.23,6518,185051674
6465.19,6589.01,6454.21,6579.93,133524212
6499.79,6520.86,6404.28,6451.97,128710247
6501.93,6509.65,6353.26,6401.06,190599420
6344.92,6442.97,6297.38,6384.26,182174711
6401.15,6413.05,6291.1,6308.96,113187412
6254.82,6335.55,6229.3,6271.22,194380760
6269.31,6364.4,6244.02,6331.04,126851490
6381.83,6446,6351.02,6435.6,142261045
6352.43,6373.79,6258.85,6285.75,166526287
6338.12,6351.1,6244.48,6315.89,149578798
6334.15,6406.96,6279.55,6339.94,151886394
6425.1,6426.27,6311.33,6323.19,89964773
6396.65,6441.26,6334.75,6396.84,125657490
6360.79,6392.21,6258.89,6280.8,151091167
6297.68,6322.69,6208.09,6264.38,147218255
6259.76,6259.76,6008.47,6050.29,206397890
5976.46,6030.81,5942.38,5978.23,111329409
5999.86,6011.56,5914.43,5969.4,117538751
6028.36,6102.42,5996.41,6093.99,154201226
6117.76,6230.22,6099.08,6144.22,173943608
6082.63,6144.76,6053.95,6130.82,123386574
6255.65,6287.54,6130.28,6141.05,159994166
6141.92,6211.14,6083.81,6161.24,148391677
6183.8,6221.36,6093.61,6152.49,131920268
6146.92,6167.49,6078.22,6138.61,143567839
6164.56,6251.59,6158.78,6229.41,320678193
6304.77,6316.14,6221.87,6248.2,176317414
6254.77,6375.27,6233.25,6363.36,135674492
6364.06,6402.21,6333.97,6392.13,119366474
6357.25,6427.49,6331.79,6343.13,150668275
6273.1,6318.06,6256.34,6263.25,131809225
6229.43,6229.43,6118.72,6132.39,136466487
6157.84,6165.28,6109.93,6136.69,149245078
6155.91,6230.51,6131.3,6228.99,132281225
6232.12,6240.09,6096.94,6149.91,245953912
6296.74,6416.28,6261.74,6416.28,223085066
6405.39,6520.4,6390.55,6496.08,162075464
6508.33,6578.21,6505.39,6578.21,141684435
6564.3,6573.86,6525.51,6564.8,102263775
6561.77,6641.86,6475.92,6535.56,180047265
6508.22,6533.79,6407.84,6410.11,151534346
6408.64,6420.78,6375.69,6387.57,117895947
6397.46,6491.4,6349.62,6438.33,128386755
6413.17,6496.53,6399.4,6453.85,112358920
6410.94,6448.22,6366.77,6419.35,148459138
6446.22,6557.1,6436.09,6557.1,144686733
6550.95,6577.06,6511.18,6565.72,99841258
6583.77,6610.81,6542.89,6577.64,109102985
6601.71,6690.66,6578.86,6684.42,122357699
6706.99,6773.5,6698.87,6758.39,151168767
6741.9,6775.74,6620.72,6630.02,180455196
6561.87,6572.11,6371.15,6419.33,217161587
6420.82,6456,6378,6390.41,127054533
6387.84,6475.33,6375.15,6406.52,115693358
6393.2,6595.58,6324.53,6582.96,192523798
6605.42,6690.43,6513.97,6689.4,147755457
6729.19,6796.61,6703.26,6774.06,138641352
6780.62,6835.19,6756.18,6772.26,155517385
6775.99,6800.1,6735.89,6754.46,112333584
6756.16,6855.71,6596.21,6606.09,237751375
6626.3,6876.74,6621.36,6865.66,176772116
6845.88,6943.32,6845.88,6918.72,118895172
6909.28,6979.63,6902.86,6967.95,132939494
6944.89,6966.15,6907.29,6966.15,121071696
6979.41,6989.15,6891.49,6964.99,169141573
6927.71,6955.38,6891.9,6944.56,142176105
6935.51,6976.31,6882.03,6909.68,107657700
6965.04,6995.03,6939.5,6974.39,91374934
6953.01,6972.64,6910.39,6946.8,76009224
6958.39,7001.4,6929.43,6996.29,115099757
7011.37,7041.11,7000.85,7040.88,164033299
7037.02,7086.22,7008.97,7033.68,108628896
7048.79,7105.43,7041.73,7089.32,112586076
7048.3,7051.77,7005.26,7017.75,123998597
7065.99,7080.74,6923.07,6949.57,130440371
6957.6,6990.07,6885.98,6971.07,93794889
6960.02,7049.48,6946.08,7047.45,87025885
7004.05,7031.16,6976.01,7002.68,85889741
7003.02,7029.8,6945.71,7010.57,68940110
6962.29,6978.5,6871,6895.49,108238621
6897.73,7011.45,6889.79,6970.79,119106804
6946.61,7016.31,6944.25,7014.83,85294994
7012.99,7015.71,6920,6932.58,88146717
6941.66,7003.53,6892.86,6964.69,106806346
6984.31,7172.32,6977.86,7167.33,199496500
7183.92,7248.51,7182.6,7214.5,256352704
7207.96,7233.92,7203.65,7213.7,156719401
7197.2,7313.48,7186.63,7310.11,171053026
7331.58,7410.36,7307.48,7343.53,295644903
7341.78,7353.22,7280.23,7310.32,142287549
7397.98,7446.47,7388.79,7412.13,217511620
7390.29,7414.22,7382.47,7403.69,157752200
7350.09,7375,7304.25,7347.69,173484103
7387.18,7396.12,7326.24,7390.76,147347386
7322.62,7390.46,7313.14,7389.49,189994349
7409.34,7478.53,7391.06,7451.62,277450078
7419.65,7440.49,7388.2,7413.16,127430249
7406.22,7438.89,7369.39,7425.11,137219210
7362.98,7362.98,7255.77,7276.51,183905649
7313.15,7324.97,7268.69,7290.02,153893995
7330.61,7337.17,7215.95,7216.15,147382548
7227.81,7339.2,7225.29,7326.73,126099620
7278.13,7373.15,7266.11,7305.86,133883066
7283.26,7339.33,7272.06,7322.08,99332486
7368.21,7374.86,7283.48,7305.21,129875397
7327.7,7409.78,7312.79,7397.87,115166911
7340.39,7341.28,7286.24,7291.21,121128963
7306.33,7308.13,7221.5,7234.53,100584343
7219.46,7245.17,7201.09,7205.23,86648818
7192.75,7305.46,7182.31,7281.7,128545075
7260.57,7291.24,7232.42,7232.49,124913294
7237.4,7302.23,7237.4,7261.25,128055298
7309.08,7387.78,7293.9,7376.27,132649813
7381.08,7399.99,7367.59,7394.55,129160700
7401.41,7447.81,7389.01,7437.23,145422041
7413.69,7430.12,7363.5,7380.64,178612920
7372.36,7390.1,7313.24,7328.05,100695117
7339.16,7343.6,7153.8,7173.69,127313425
7202.03,7216.13,7120.68,7192.85,135667630
7203.12,7256.22,7181.45,7200.23,110262622
7161.73,7257.37,7147.51,7231.85,97024502
7205.05,7225.32,7171.96,7203.16,70905663
7239.69,7292.83,7239.04,7284.4,86875538
7305.07,7347.51,7260.63,7260.63,124993341
7255.3,7356.18,7255.11,7335.67,90003623
7336.52,7391.04,7314.68,7363.85,137462007
7320.98,7337.47,7304.45,7326.47,78945945
7336.46,7388.98,7319.73,7377.76,107334249
7425.08,7434.96,7226.6,7232.83,174471898
7260.35,7287,7184.18,7204.96,188728144
7220.69,7222.87,7064.34,7163.5,204075125
7164.68,7196,7138.17,7168.76,118847607
7131.6,7185.29,7074.87,7169.12,188020584
7156.34,7182.81,7084.63,7101.92,146557479
7064.99,7079.22,7021.62,7043.42,138533144
7045.63,7059.83,6950.53,6950.53,189837938
7020.23,7130.87,7007.21,7123.84,137507812
7098.13,7186.61,7092.23,7172.99,109243062
7148.91,7194.79,7139.99,7184.71,98224002
7210.46,7253.02,7205.2,7244.99,126772283
7258.33,7311.55,7219.55,7309.13,104506792
7286.69,7312.86,7273.57,7292.03,83949617
7343.01,7361.55,7307.3,7332.33,118165341
7317.49,7351.48,7265.44,7343.41,98071587
7382.55,7416.52,7377.09,7400.96,120859481
7399.09,7442.6,7398.22,7405.5,104513832
7427.41,7487.89,7419.3,7435.21,100299708
7428.13,7466.25,7417.3,7435.12,96451468
7480.59,7482.28,7428.7,7454.55,125325423
7469.54,7554.51,7461.19,7534.54,138410584
7539.78,7553.05,7487.64,7517.8,129652641
7484.95,7536.6,7457.4,7530.92,101543449
7529.24,7596.9,7518.74,7589.75,111012101
7595.2,7626.4,7590.18,7614.79,117734214
7618.62,7618.62,7561.96,7581.98,118920261
7599.03,7619.26,7571.16,7596.47,93304235
7604.16,7627.14,7564.07,7604.94,89490814
7634.28,7667.91,7626.25,7653.58,127196499
7675.33,7682.9,7655.71,7668.5,128885650
7642.99,7675.45,7635.39,7672.1,102027845
7632.41,7653.73,7596.64,7636.23,208158233
7652.27,7676.5,7640.3,7655.88,64569014
7649.89,7665.68,7602.89,7612.39,48123637
7689.46,7789.94,7689.46,7778.78,140345527
7762.13,7777.02,7737.98,7756.44,86174098
7740.99,7779.67,7727.55,7776.37,101576998
7760.01,7767.55,7713.42,7732.66,151695426
7710.7,7754.38,7683.48,7695.83,130425494
7713.57,7734.78,7688.55,7720.47,158333774
7732.14,7773.69,7685.08,7708.47,176131243
7725.93,7731.45,7683.92,7715.53,174958550
7737.61,7785.82,7702.36,7729.52,110488567
7704.05,7735.21,7635.88,7675.91,140265818
7661.61,7694.8,7643.14,7691.13,108713407
7677.28,7764.03,7662.43,7735.46,110870660
